127.0.0.1 - - [05/Oct/2020:10:11:28 +0200] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:11:30 +0200] "GET /FitnessTracker/ HTTP/1.1" 200 2214
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:11:30 +0200] "GET /FitnessTracker/assets/css/bootstrap.css HTTP/1.1" 200 121663
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:11:30 +0200] "GET /FitnessTracker/assets/css/bootstrap-responsive.css HTTP/1.1" 200 21709
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:11:30 +0200] "GET /FitnessTracker/jquery-1.8.3.js HTTP/1.1" 200 266057
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:11:30 +0200] "GET /FitnessTracker/assets/js/bootstrap.js HTTP/1.1" 200 56478
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:11:39 +0200] "GET /FitnessTracker/addGoal.html HTTP/1.1" 200 2404
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:11:39 +0200] "GET /FitnessTracker/addMinutes.html HTTP/1.1" 200 3319
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:11:39 +0200] "GET /FitnessTracker/activities.json?ajax=true HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:11:46 +0200] "GET /FitnessTracker/addMinutes.html?language=es HTTP/1.1" 200 3347
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:11:47 +0200] "GET /FitnessTracker/addMinutes.html?language=en HTTP/1.1" 200 3331
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:59:10 +0200] "GET /FitnessTracker/addMinutes.html?language=es HTTP/1.1" 200 3345
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:59:15 +0200] "GET /FitnessTracker/addMinutes.html?language=en HTTP/1.1" 200 3329
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:59:16 +0200] "GET /FitnessTracker/addMinutes.html?language=es HTTP/1.1" 200 3345
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:59:23 +0200] "GET /FitnessTracker/addMinutes.html?language=en HTTP/1.1" 200 3329
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:59:25 +0200] "GET /FitnessTracker/addMinutes.html?language=es HTTP/1.1" 200 3345
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:59:39 +0200] "GET /FitnessTracker/addMinutes.html?language=en HTTP/1.1" 200 3329
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:59:41 +0200] "GET /FitnessTracker/addMinutes.html?language=es HTTP/1.1" 200 3345
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:59:52 +0200] "GET /FitnessTracker/addMinutes.html?language=es HTTP/1.1" 200 3345
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:59:54 +0200] "GET /FitnessTracker/addMinutes.html?language=es HTTP/1.1" 200 3345
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:59:54 +0200] "GET /FitnessTracker/addMinutes.html?language=es HTTP/1.1" 200 3345
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:59:55 +0200] "GET /FitnessTracker/addMinutes.html?language=es HTTP/1.1" 200 3345
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:59:56 +0200] "GET /FitnessTracker/addMinutes.html?language=en HTTP/1.1" 200 3329
0:0:0:0:0:0:0:1 - - [05/Oct/2020:11:00:01 +0200] "GET /FitnessTracker/addMinutes.html?language=es HTTP/1.1" 200 3345
0:0:0:0:0:0:0:1 - - [05/Oct/2020:11:00:03 +0200] "GET /FitnessTracker/addMinutes.html?language=en HTTP/1.1" 200 3329
0:0:0:0:0:0:0:1 - - [05/Oct/2020:11:00:09 +0200] "GET /FitnessTracker/addMinutes.html?language=es HTTP/1.1" 200 3345
0:0:0:0:0:0:0:1 - - [05/Oct/2020:11:00:48 +0200] "GET /FitnessTracker/addMinutes.html?language=en HTTP/1.1" 200 3329
0:0:0:0:0:0:0:1 - - [05/Oct/2020:11:00:50 +0200] "GET /FitnessTracker/addMinutes.html?language=es HTTP/1.1" 200 3345
0:0:0:0:0:0:0:1 - - [05/Oct/2020:11:08:49 +0200] "GET /FitnessTracker/addMinutes.html?language=en HTTP/1.1" 200 3329
0:0:0:0:0:0:0:1 - - [05/Oct/2020:11:08:51 +0200] "GET /FitnessTracker/addMinutes.html?language=en HTTP/1.1" 200 3329
0:0:0:0:0:0:0:1 - - [05/Oct/2020:11:09:10 +0200] "GET /FitnessTracker/addMinutes.html?language=es HTTP/1.1" 200 3345
0:0:0:0:0:0:0:1 - - [05/Oct/2020:11:09:12 +0200] "GET /FitnessTracker/addMinutes.html?language=en HTTP/1.1" 200 3329
